SE01;SE02;SE03;SE04;SE05;SE06;SE07;SE08;SE09;SE10;Q15;Q17;Q18;Q4;Q8;Q9;Q11;Q12;Q14;Q6;Q13;Q16;Q3;Q7;Q10;Q1;Q2;Q5
Setuju;Tidak setuju;Tidak setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Agak tidak setuju;Agak tidak setuju;Setuju;Setuju;Netral;Sangat setuju;Sangat setuju;Agak tidak setuju;Tidak setuju;Setuju;Netral;Netral;Agak tidak setuju;Netral;Setuju;Setuju;Netral
Setuju;Setuju;Sangat setuju;Setuju;Setuju;Setuju;Tidak setuju;Setuju;Setuju;Setuju;Agak tidak setuju;Netral;Setuju;Netral;Setuju;Setuju;Sangat setuju;Sangat setuju;Agak tidak setuju;Netral;Setuju;Agak setuju;Sangat setuju;Sangat tidak setuju;Tidak setuju;Agak tidak setuju;Setuju;Netral
Setuju;Setuju;Setuju;Setuju;Sangat setuju;Setuju;Tidak setuju;Sangat setuju;Setuju;Tidak setuju;Tidak setuju;Setuju;Sangat setuju;Tidak setuju;Sangat tidak setuju;Setuju;Sangat setuju;Sangat setuju;Sangat tidak setuju;Sangat tidak setuju;Setuju;Sangat tidak setuju;Sangat setuju;Sangat tidak setuju;Sangat tidak setuju;Sangat setuju;Sangat setuju;Tidak setuju
Setuju;Tidak setuju;Setuju;Tidak setuju;Sangat tidak setuju;Sangat setuju;Sangat setuju;Setuju;Setuju;Tidak setuju;Netral;Netral;Setuju;Netral;Netral;Agak setuju;Sangat setuju;Setuju;Netral;Netral;Netral;Setuju;Agak setuju;Setuju;Setuju;Netral;Netral;Setuju
Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju
Setuju;Setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Netral;Setuju;Agak tidak setuju;Tidak setuju;Setuju;Setuju;Setuju;Setuju;Tidak setuju;Agak setuju;Netral;Tidak setuju;Sangat setuju;Sangat tidak setuju;Tidak setuju;Setuju;Setuju;Agak setuju
Setuju;Tidak setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Setuju;Setuju;Sangat setuju;Sangat setuju;Setuju;Netral;Netral;Agak tidak setuju;Sangat setuju;Setuju;Setuju;Setuju;Sangat tidak setuju;Agak setuju;Setuju;Netral;Sangat setuju;Sangat tidak setuju;Sangat tidak setuju;Agak tidak setuju;Netral;Sangat setuju
Setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Sangat setuju;Sangat setuju;Agak setuju;Agak setuju;Setuju;Sangat setuju;Sangat setuju;Agak setuju;Agak setuju;Sangat setuju;Agak tidak setuju;Agak setuju;Tidak setuju;Tidak setuju;Setuju;Setuju;Tidak setuju
Setuju;Tidak setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Agak setuju;Setuju;Setuju;Netral;Setuju;Setuju;Setuju;Sangat setuju;Tidak setuju;Agak tidak setuju;Netral;Agak tidak setuju;Agak setuju;Sangat setuju;Setuju;Setuju;Sangat setuju;Agak setuju
Setuju;Setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Netral;Agak tidak setuju;Netral;Agak setuju;Sangat setuju;Sangat setuju;Sangat setuju;Netral;Setuju;Agak tidak setuju;Sangat setuju;Agak tidak setuju;Agak tidak setuju;Setuju;Netral;Netral
